Company,Type,OpSys,CPU,GPU,Ram,Weight,Touchscreen,ClockSpeed,HDD,SSD,PPI,Price
MSI,Gaming,Windows,Intel,Nvidia,32,4.4,0,2.9,1.0,0.512,163.0434782608696,149130.72
Lenovo,Notebook,Windows,Intel,AMD,8,1.9,0,2.5,1.0,0.128,192.30769230769232,43316.64
HP,2 in 1 Convertible,Windows,Intel,Intel,8,1.29,1,1.6,0.0,0.256,451.12781954887214,79866.72
Dell,Notebook,Linux,Intel,AMD,16,2.02,0,1.8,2.0,0.256,192.30769230769232,55890.72
Dell,Ultrabook,Windows,Intel,Intel,8,1.23,0,1.6,0.0,0.256,225.56390977443607,74538.72
Lenovo,2 in 1 Convertible,Windows,Intel,Intel,16,1.4,1,1.8,0.0,0.512,431.6546762589928,98514.72
Toshiba,Notebook,Windows,Intel,Intel,8,2.0,0,2.5,0.0,0.128,136.7948717948718,42251.04
others,Notebook,No,Intel,Nvidia,8,1.95,0,1.6,0.0,0.256,192.30769230769232,63882.72
Dell,Notebook,Windows,Intel,Nvidia,16,2.77,1,1.8,0.0,0.512,173.41040462427745,82530.72
Dell,Notebook,Windows,Intel,Nvidia,16,2.06,1,2.8,0.0,0.512,384.61538461538464,127712.16
Lenovo,Gaming,No,Intel,Nvidia,8,2.4,0,2.5,0.0,0.256,192.30769230769232,41505.12
Acer,Ultrabook,Windows,Intel,Intel,8,1.12,0,1.2,0.0,0.256,225.56390977443607,52693.92
Dell,Notebook,Windows,Intel,AMD,8,2.8,0,1.8,1.0,0.128,173.41040462427745,57808.8
Lenovo,2 in 1 Convertible,Windows,Intel,Intel,16,1.42,1,2.7,0.0,1.0,285.7142857142857,150462.72
others,Notebook,Windows,Intel,Intel,4,1.3,0,1.1,0.0,0.0,214.28571428571428,13852.8
others,Ultrabook,No,Intel,Nvidia,8,1.3,0,2.5,0.0,0.256,225.56390977443607,53274.67199999999
Lenovo,Notebook,No,Intel,Nvidia,8,2.8,0,1.6,0.0,0.256,144.50867052023122,37189.44
Dell,2 in 1 Convertible,Windows,Intel,Intel,8,1.62,1,1.8,1.0,0.0,225.56390977443607,44701.92
HP,Notebook,Windows,Intel,Nvidia,8,2.5,0,1.6,1.0,0.0,173.41040462427745,48697.92
others,Gaming,Windows,Intel,Nvidia,32,3.49,1,2.9,0.0,1.0,346.8208092485549,324954.72
HP,Notebook,Windows,Intel,Intel,8,1.49,0,1.6,0.0,0.512,225.56390977443607,51095.52
HP,Gaming,Windows,Intel,Nvidia,16,3.35,0,2.8,1.0,0.256,173.41040462427745,73473.12
HP,Notebook,Windows,Intel,Nvidia,8,2.5,0,1.8,0.0,0.256,173.41040462427745,55677.6
Dell,Gaming,Windows,Intel,Nvidia,16,2.65,0,2.8,1.0,0.512,384.61538461538464,98301.6
Lenovo,Notebook,Windows,Intel,Intel,4,2.1,0,2.3,0.0,0.128,136.7948717948718,26267.04
Acer,Notebook,Windows,Intel,Nvidia,8,2.23,0,2.7,1.0,0.0,192.30769230769232,39533.76
Lenovo,Gaming,Windows,Intel,Nvidia,16,3.2,0,2.8,1.0,0.512,192.30769230769232,93186.72
Dell,Workstation,Windows,Intel,Nvidia,16,2.8,0,3.0,1.0,0.256,384.61538461538464,162770.4
Lenovo,Gaming,No,Intel,Nvidia,16,2.4,0,2.8,0.0,0.512,192.30769230769232,74485.44
Dell,Notebook,Windows,Intel,Intel,6,2.3,1,2.4,1.0,0.0,136.7948717948718,23389.92
Dell,Ultrabook,Windows,Intel,Intel,8,1.21,1,1.8,0.0,0.256,451.12781954887214,103842.72
Dell,Ultrabook,Windows,Intel,Intel,8,1.2,0,1.8,0.0,0.256,225.56390977443607,77202.72
Lenovo,Notebook,Windows,Intel,Intel,8,2.2,0,2.5,0.0,0.256,136.7948717948718,31808.16
Acer,Notebook,Linux,Intel,Nvidia,8,2.4,0,2.8,1.0,0.0,192.30769230769232,41505.12
Asus,Gaming,Windows,Intel,Nvidia,16,2.9,0,2.8,1.0,0.256,173.41040462427745,74964.95999999999
HP,Notebook,No,Intel,Intel,4,2.1,0,2.0,0.5,0.0,192.30769230769232,18594.72
Lenovo,Notebook,No,Intel,Intel,8,2.2,0,2.5,0.0,0.256,192.30769230769232,29250.72
others,Ultrabook,Windows,Intel,Intel,8,1.05,0,2.7,0.0,0.512,276.9230769230769,79866.72
Dell,Ultrabook,Windows,Intel,AMD,8,1.4,0,1.8,0.0,0.256,225.56390977443607,49650.5664
Lenovo,Notebook,No,Intel,Nvidia,8,2.8,0,2.5,1.0,0.0,144.50867052023122,31381.92
HP,Notebook,Windows,Intel,Nvidia,8,1.63,0,1.8,0.0,0.256,214.28571428571428,54931.68
Dell,Ultrabook,Windows,Intel,Intel,8,1.6,0,1.6,0.0,0.256,214.28571428571428,61218.72
Dell,2 in 1 Convertible,Windows,Intel,Intel,16,1.62,1,1.8,0.0,0.512,225.56390977443607,68145.12
Dell,Notebook,Linux,Intel,AMD,8,2.2,0,1.6,0.0,0.256,192.30769230769232,36089.208
Lenovo,2 in 1 Convertible,Windows,Intel,Intel,8,1.74,0,1.6,0.0,0.256,214.28571428571428,47898.72
Toshiba,Ultrabook,Windows,Intel,Intel,8,1.2,0,2.5,0.0,0.256,225.56390977443607,72620.64
HP,Notebook,Windows,Intel,Intel,8,2.1,0,1.6,1.0,0.0,192.30769230769232,42304.32
Dell,Gaming,Windows,Intel,Nvidia,16,4.42,0,2.8,1.0,0.256,173.41040462427745,130873.7952
Acer,Notebook,Windows,Intel,Nvidia,8,2.2,0,2.7,0.0,0.256,192.30769230769232,44328.96
Dell,Notebook,Windows,Intel,AMD,16,2.3,1,2.7,1.0,0.0,192.30769230769232,45768.0528
Asus,Notebook,Windows,Intel,Nvidia,8,2.0,0,2.5,0.0,0.256,192.30769230769232,40972.32
Asus,Notebook,Windows,Intel,Nvidia,8,2.69,0,2.5,0.5,0.256,173.41040462427745,47472.48
HP,Notebook,Windows,Intel,AMD,8,1.9,0,2.7,1.0,0.0,192.30769230769232,67612.31999999999
Asus,Notebook,Windows,Intel,Intel,4,2.37,0,2.4,1.0,0.0,136.7948717948718,21258.1872
HP,Notebook,Windows,AMD,AMD,4,2.1,0,1.5,0.5,0.0,136.7948717948718,17582.399999999998
Lenovo,Gaming,Windows,Intel,Nvidia,16,3.2,0,2.8,1.0,0.256,192.30769230769232,79866.72
Dell,Notebook,Windows,Intel,Intel,8,1.6,0,2.5,0.0,0.256,214.28571428571428,45767.52
